,mode,num,lang,model,seed_mean,seed_std,f1_mean,f1_std,f1
0,global_cap_labels,0.1,amh,AfriBERTa,2.0,1.0,0.039894078917840914,0.005313740890930795,0.039894078917840914
1,global_cap_labels,0.1,amh,Afro-XLM-R,2.0,1.0,0.04423725704285111,0.00825686469351767,0.04423725704285111
2,global_cap_labels,0.1,amh,XLM-R,2.0,1.0,0.05648711591035454,0.00969976891996717,0.05648711591035454
3,global_cap_labels,0.1,amh,mBERT,2.0,1.0,0.0,0.0,0.0
4,global_cap_labels,0.1,conll_2003_en,AfriBERTa,2.0,1.0,0.12128246999716219,0.00526314514448666,0.12128246999716219
5,global_cap_labels,0.1,conll_2003_en,Afro-XLM-R,2.0,1.0,0.1267548382455408,0.009859850404906579,0.1267548382455408
6,global_cap_labels,0.1,conll_2003_en,XLM-R,2.0,1.0,0.11793675896622857,0.008523410742428187,0.11793675896622857
7,global_cap_labels,0.1,conll_2003_en,mBERT,2.0,1.0,0.12970491427129205,0.007459497397012677,0.12970491427129205
8,global_cap_labels,0.1,hau,AfriBERTa,2.0,1.0,0.14454365505818303,0.019403059683962883,0.14454365505818303
9,global_cap_labels,0.1,hau,Afro-XLM-R,2.0,1.0,0.12248011891686507,0.015018206598858016,0.12248011891686507
10,global_cap_labels,0.1,hau,XLM-R,2.0,1.0,0.1365019100427113,0.03418941558152632,0.1365019100427113
11,global_cap_labels,0.1,hau,mBERT,2.0,1.0,0.12080845953320836,0.02864646957932167,0.12080845953320836
12,global_cap_labels,0.1,ibo,AfriBERTa,2.0,1.0,0.14679104272037716,0.00756321017959354,0.14679104272037716
13,global_cap_labels,0.1,ibo,Afro-XLM-R,2.0,1.0,0.14606799809121535,0.022154761306506256,0.14606799809121535
14,global_cap_labels,0.1,ibo,XLM-R,2.0,1.0,0.1339757633206173,0.006619395570742163,0.1339757633206173
15,global_cap_labels,0.1,ibo,mBERT,2.0,1.0,0.14692677830909462,0.003530149758557072,0.14692677830909462
16,global_cap_labels,0.1,kin,AfriBERTa,2.0,1.0,0.0856928903255113,0.02496504022103055,0.0856928903255113
17,global_cap_labels,0.1,kin,Afro-XLM-R,2.0,1.0,0.08491666231723587,0.00947475023447545,0.08491666231723587
18,global_cap_labels,0.1,kin,XLM-R,2.0,1.0,0.07901260901465126,0.019482570096077116,0.07901260901465126
19,global_cap_labels,0.1,kin,mBERT,2.0,1.0,0.09327288736584088,0.009896185434546992,0.09327288736584088
20,global_cap_labels,0.1,lug,AfriBERTa,2.0,1.0,0.034293581429911284,0.012556169772893923,0.034293581429911284
21,global_cap_labels,0.1,lug,Afro-XLM-R,2.0,1.0,0.05866211782507591,0.01752055847697462,0.05866211782507591
22,global_cap_labels,0.1,lug,XLM-R,2.0,1.0,0.045080764750224024,0.02408310166623224,0.045080764750224024
