Wákàtí B-DATE
méje I-DATE
ti O
ré O
kọjá O
lọ O
tí O
Luis B-PER
Carlos I-PER
Díaz I-PER
ti O
di O
àwátì O
. O

[ O
Díaz B-PER
] O
jẹ́ O
oníròyìn O
fún O
ilé O
iṣẹ́ O
ìgbóhùnsáfẹ́fẹ́ O
Unión B-ORG
Radio I-ORG
Noticias I-ORG
, O
ó O
sì O
tún O
jẹ́ O
ajàfúnẹ̀tọ́ O
ọmọnìyàn O
. O

Àwa O
ní O
olú O
ilé O
iṣẹ́ẹ O
SEBIN B-ORG
headquarters O
àti O
pé O
wọ́n O
ní O
àwọn O
kò O
ní O
í O
[ O
ní O
àhámọ́ O
àwọn O
] O
# O
NiboNiLuisCarlosWa O
. O

[ O
Ìròyìn O
tí O
ó O
tẹ̀ O
wá O
lọ́wọ́ O
: O
they O
wọ́n O
pàpà O
jẹ́wọ́ O
wípé O
[ O
Diaz B-PER
wà O
ní O
akolóo O
wọn O
] O

A O
bá O
a O
kẹ́dùn O
ipò O
tí O
ó O
wà O
. O

Ìwé O
àbádòfin O
náà O
yóò O
fi O
àṣẹ O
fún O
ìṣánpa O
ẹ̀rọ O
ayélujára O
ní O
Nàìjíríàj B-LOC

Yóò O
yọ O
ọwọ́ O
kílàńkó O
àwọn O
àtẹ̀jáde O
irọ́ O
tí O
ó O
lè O
kó O
orílẹ̀ O
èdèe O
Nàìjíríà B-LOC
sí O
"""" O
ìyọnu O
, O
"""" O
láwo O
láì O
gbàgbée O
àwọn O
ọ̀ràn O
bíi O
ètò O
ìlera O
gbogboògbò O
, O
ààbòo O
gbogboògbò O
, O
"""" O
ìbalẹ̀ O
- O
ọkàn O
- O
an O
gbogboògbò O
tàbí O
ìṣúná O
owóo O
gbogboògbò O
"""" O
àti O
"""" O
àwọn O
ìbáṣepọ̀ O
orílẹ̀ O
- O

èdèe O
Nàìjíríà B-LOC
pẹ̀lú O
àwọn O
orílẹ̀ O
èdè O
mìíràn O
. O
"""" O

Ní O
àlàyé O
síwájú O
sí O
i O
, O
kò O
sí O
ohun O
tí O
ojú O
òfin O
tuntun O
náà O
kò O
leè O
tó O
bí O
ó O
bá O
ti O
jẹ́ O
lórí O
ayélujára O
— O
lábẹ́ O
àbùradà O
à O
ń O
gbógun O
ti O
àhesọ O
àti O
irọ́ O
pọ́nbẹ́lẹ́ O
. O

Abala O
3a O
sí O
b O
( O
i O
) O
ti O
ìwé O
àbádòfin O
ìlò O
ẹ̀rọ O
alátagbà O
sọ O
wípé O
: O

Ọ̀ràn O
- O
an O
ti O
“ O
ààbò O
orílẹ̀ O
- O
èdè O
"""" O
ni O
orí O
Èṣù O
tí O
òfin O
náà O
dúró O
lé O
láti O
pa O
ẹ̀tọ́ O
sí O
òmìnira O
ọ̀rọ̀ O
sísọ O
mọ́ O
. O

Gẹ́gẹ́ O
bí O
Abala O
3b O
( O
v O
) O
ti O
ṣe O
fi O
hàn O
, O
èyí O
ní O
í O
ṣe O
pẹ̀lú O
gbólóhùn O
tí O
ó O
: O
“ O
fa O
ìmúnilọ́tàá O
, O
tí O
a O
sọ O
sí O
ẹnìkan O
tàbí O
ìtara O
láàárín O
àwọn O
ènìyàn O
. O
"""" O

Èyí O
léwu O
nítorí O
ó O
fi O
àyè O
gba O
àwọn O
onípò O
àṣẹ O
láti O
lo O
agbára O
nílòkulò O
. O

Àwọn O
apèsè O
ayélujára O
gbọdọ̀ O
tẹ̀lé O
òfin O
ìdígàgá O
yìí O
tàbí O
kí O
wọ́n O
ó O
sanwó O
ìtanràn O
tí O
ó O
tó O
ẹgbẹẹgbẹ̀rún O
5 O
sí O
10 O
owó O
naira O
[ O
$ O
14 O
, O
000 O
- O
28 O
, O
000 O
USD O
] O
. O

Ìtẹ́rí O
ẹ̀tọ́ O
ọmọnìyàn O
náà O
ṣ'ókùnkùn O
sí O
i O
nítorí O
wípé O
òfin O
náà O
gba O
àwọn O
ọlọ́pàá O
láyè O
lábẹ́ O
òfin O
láti O
pa O
àṣẹ O
ìdígàgá O
- O
àyè O
bí O
ó O
ti O
ṣe O
hù O
wọ́n O
. O

Àwọn O
aṣojú O
- O
ṣòfin O
tí O
ó O
wà O
lẹ́yìn O
ìwé O
àbádòfin O
ẹ̀rọ O
alátagbà O
náà O

Àwọn O
aṣojú O
- O
ṣòfin O
mẹ́ta O
kan O
ni O
ó O
gbé O
ìwé O
àbádòfin O
náà O
sórí O
nínú O
ìgbìmọ̀ O
, O
ilé O
ìgbìmọ̀ O
àgbà O
: O
Mohammed B-PER
Sani I-PER
Musa I-PER
( O
agbátẹrùu O
ìwé O
àbádòfin O
) O
, O
Abba B-PER
Moro I-PER
àti O
Elisha B-PER
Abbo I-PER
. O

Àjọ O
Elétò O
( O
INEC B-ORG
) O
gba O
