Atachavi B-PER
nowacho O
ni O
saa O
koro O
osechopo O
ma O
jopiny O
jonegobed O
ni O
joyieroe O
ka O
ber O
mondo O
mi O
giruak O
masks O
mabende O
nengogi O
en O
mana O
silings O
30 O
kende O
koso O
giwe O
ruako O
masks O
mondo O
mi O
makgi O
kendo O
dhi O
gogi O
fuai O
mar O
silings O
alufu O
5 O
e O
doho B-ORG

Jii O
7 O
moko O
ne O
ogoo O
fuai O
mar O
siling O
alufu O
1 O
kuom O
ng' O
ato O
ka O
ng' O
ato O
gi O
doho B-ORG
ma I-ORG
Rongo I-ORG
e O
County B-LOC
ma I-LOC
Migori I-LOC
gi O
ketho O
mar O
bedo O
maok O
giruako O
mask O

Lweny O
mane O
obedo O
e O
kind O
owete O
ariyo O
okelo O
tho O
egweng O
ma O
Kokara O
e O
Sub B-LOC
County I-LOC
ma I-LOC
Rarieda I-LOC

Kanowuoyo O
gi O
jofuamb O
weche O
e O
apise O
e O
boma B-LOC
ma I-LOC
Homa I-LOC
Bay I-LOC
, O
jatelono O
nowacho O
ni O
rowerego O
jobiro O
yudo O
silings O
455 O
e O
odiechieng O
ka O
odiecheing O
kuom O
ndalo O
11 O
kowacho O
ni O
chenrono O
geto O
gonyo O
ngima O
ne O
rowere O
mane O
jowito O
tijegi O
nikech O
wach O
biro O
mar O
tuono O

Jii O
ma O
olap O
dhogi O
ndong' O
ne O
lemo O
mopogore O
opogore O
e O
tend O
club O
mar O
Gor O
Mahia O
koro O
oyawunegi O
thuolo O
mar O
chwalo O
kwayo O
margi O
. O

Kwan O
jii O
ma O
oyudi O
kod O
midusi O
mar O
Coronavirus O
ei O
kawuononi B-DATE
gin O
jii O
62 O
makoro O
kelo O
kwan O
jogo O
duto O
man O
kod O
midusi O
magalagalano O
e O
pachoka O
chopo O
jii O
alufu O
1 O
gi O
348 O

